timestamp_ms,cpu_total%,cpu0%,cpu1%,cpu2%,cpu3%,cpu4%,cpu5%,cpu6%,cpu7%,npu_core0%,npu_core1%,npu_core2%,npu_available
501,31.4,28.6,30.8,30.6,26.5,26.0,32.0,54.0,27.1,-1.0,-1.0,-1.0,0
1002,90.4,79.2,85.4,82.0,81.6,100.0,98.0,98.0,96.1,-1.0,-1.0,-1.0,0
1502,66.7,44.2,40.8,37.5,36.7,96.0,93.9,98.0,85.7,-1.0,-1.0,-1.0,0
2002,59.1,36.0,31.4,25.0,31.4,98.0,96.0,64.0,90.2,-1.0,-1.0,-1.0,0
2503,62.1,43.1,38.0,32.7,34.0,92.2,96.1,70.0,92.0,-1.0,-1.0,-1.0,0
3003,62.6,44.9,33.3,38.0,40.8,95.9,73.5,80.4,94.0,-1.0,-1.0,-1.0,0
3504,60.4,41.7,32.0,34.7,35.4,88.0,81.6,93.9,71.4,-1.0,-1.0,-1.0,0
4004,65.7,55.8,42.3,38.0,45.1,86.0,86.0,76.5,94.1,-1.0,-1.0,-1.0,0
4504,63.4,52.0,36.0,38.8,34.0,83.7,92.0,77.1,95.9,-1.0,-1.0,-1.0,0
5005,63.3,46.0,31.4,49.0,38.0,95.9,87.8,76.0,84.0,-1.0,-1.0,-1.0,0
5505,61.8,39.2,28.0,36.0,46.0,84.3,94.0,94.0,68.6,-1.0,-1.0,-1.0,0
6005,66.2,44.9,44.9,38.3,53.1,70.6,92.2,91.8,95.9,-1.0,-1.0,-1.0,0
6506,69.4,46.8,50.0,41.2,51.0,93.8,83.7,94.0,95.9,-1.0,-1.0,-1.0,0
7006,64.9,49.0,40.4,44.0,41.2,86.3,94.0,93.9,72.0,-1.0,-1.0,-1.0,0
7506,60.8,36.5,36.0,31.2,32.0,90.0,85.7,96.1,78.0,-1.0,-1.0,-1.0,0
8007,64.1,40.8,39.2,52.0,32.0,90.2,94.1,76.0,92.0,-1.0,-1.0,-1.0,0
8507,60.3,41.2,30.6,35.4,34.7,95.9,90.0,88.0,64.0,-1.0,-1.0,-1.0,0
9008,64.5,38.0,40.8,46.0,45.8,89.6,98.0,90.0,64.0,-1.0,-1.0,-1.0,0
9508,65.4,52.9,47.1,40.8,38.8,90.0,90.0,92.0,76.0,-1.0,-1.0,-1.0,0
10009,61.6,36.7,32.7,48.0,33.3,94.0,91.8,92.0,59.2,-1.0,-1.0,-1.0,0
10510,58.4,24.5,30.6,31.2,32.0,90.2,90.4,86.0,78.4,-1.0,-1.0,-1.0,0
11011,67.2,44.0,42.9,44.9,51.0,87.8,90.0,85.7,91.8,-1.0,-1.0,-1.0,0
11511,63.0,43.1,38.8,40.8,37.3,76.5,96.0,98.0,74.0,-1.0,-1.0,-1.0,0
12012,57.9,34.6,27.5,28.0,30.0,60.0,89.8,94.1,98.0,-1.0,-1.0,-1.0,0
12513,65.1,38.0,42.9,36.0,48.0,98.0,92.0,91.8,75.5,-1.0,-1.0,-1.0,0
13013,61.6,37.3,45.1,29.4,38.5,90.2,82.4,76.5,94.0,-1.0,-1.0,-1.0,0
13513,61.0,40.0,36.7,33.3,36.7,94.1,59.2,95.9,92.2,-1.0,-1.0,-1.0,0
14014,59.9,32.7,44.9,26.5,31.2,87.8,84.0,94.1,77.6,-1.0,-1.0,-1.0,0
14514,60.7,34.0,43.8,35.4,31.4,96.0,94.0,89.6,62.0,-1.0,-1.0,-1.0,0
15015,63.5,44.2,47.1,32.0,32.7,94.0,90.0,98.0,68.6,-1.0,-1.0,-1.0,0
15516,60.4,25.0,38.0,32.7,48.0,89.8,90.0,87.8,69.4,-1.0,-1.0,-1.0,0
16018,63.1,39.2,43.1,39.6,42.9,96.0,94.0,90.2,62.0,-1.0,-1.0,-1.0,0
16518,63.6,42.0,30.0,44.0,47.1,94.1,89.8,77.6,82.0,-1.0,-1.0,-1.0,0
17019,61.5,32.0,33.3,34.7,50.0,88.0,82.0,91.8,84.0,-1.0,-1.0,-1.0,0
17521,59.4,28.0,28.6,33.3,41.2,92.0,94.1,92.2,62.5,-1.0,-1.0,-1.0,0
18021,62.9,32.7,32.7,37.3,49.0,76.5,88.0,94.0,94.0,-1.0,-1.0,-1.0,0
18522,61.1,35.3,38.0,36.7,31.2,94.0,62.5,90.4,95.9,-1.0,-1.0,-1.0,0
19022,56.4,24.0,18.8,32.0,33.3,74.0,94.0,95.8,78.4,-1.0,-1.0,-1.0,0
19523,61.5,32.7,32.7,40.0,40.0,73.5,94.1,90.2,89.8,-1.0,-1.0,-1.0,0
20023,57.4,28.6,20.4,28.0,29.2,86.0,96.0,78.4,92.0,-1.0,-1.0,-1.0,0
20524,59.2,38.5,27.1,30.6,32.0,70.6,94.0,85.4,94.0,-1.0,-1.0,-1.0,0
21024,60.8,38.0,30.0,44.2,34.7,94.0,75.0,84.0,89.6,-1.0,-1.0,-1.0,0
21525,60.2,27.1,34.0,32.7,40.0,83.7,72.0,94.1,96.0,-1.0,-1.0,-1.0,0
22025,59.0,37.5,21.3,25.0,32.0,85.7,100.0,70.8,94.0,-1.0,-1.0,-1.0,0
22526,59.8,37.3,30.0,30.0,32.7,92.2,83.7,96.1,75.0,-1.0,-1.0,-1.0,0
23027,62.2,39.2,32.0,39.2,34.6,94.0,88.2,96.0,75.5,-1.0,-1.0,-1.0,0
23527,60.6,34.0,38.0,32.7,37.5,91.8,80.4,77.1,96.0,-1.0,-1.0,-1.0,0
24028,53.6,25.9,24.0,16.3,18.4,94.0,54.2,98.0,96.0,-1.0,-1.0,-1.0,0
24528,61.4,36.5,32.0,40.0,34.7,76.0,96.0,85.7,94.0,-1.0,-1.0,-1.0,0
25034,58.1,24.0,36.0,28.0,34.7,88.2,98.0,74.5,76.5,-1.0,-1.0,-1.0,0
25534,56.8,22.9,30.0,34.7,23.5,78.0,94.0,76.0,95.8,-1.0,-1.0,-1.0,0
26035,63.1,42.3,41.7,28.6,40.8,98.0,91.8,71.4,90.2,-1.0,-1.0,-1.0,0
26536,59.8,32.7,38.8,32.0,34.0,92.0,98.0,50.0,100.0,-1.0,-1.0,-1.0,0
27036,58.8,36.0,26.5,24.5,32.0,96.0,84.3,72.5,94.0,-1.0,-1.0,-1.0,0
27538,62.0,30.6,35.3,40.8,43.1,98.0,64.7,98.0,88.0,-1.0,-1.0,-1.0,0
28039,59.3,34.6,30.6,36.5,36.0,94.0,79.6,94.1,71.4,-1.0,-1.0,-1.0,0
28539,62.1,31.4,48.0,38.8,32.7,88.0,88.5,90.0,74.0,-1.0,-1.0,-1.0,0
29043,58.7,30.0,41.2,30.0,24.0,92.0,72.9,82.0,100.0,-1.0,-1.0,-1.0,0
29544,61.2,44.9,38.8,37.3,28.6,94.1,66.0,87.8,90.0,-1.0,-1.0,-1.0,0
30044,56.9,28.6,33.3,32.0,27.5,90.0,51.0,95.9,96.1,-1.0,-1.0,-1.0,0
30544,58.1,29.2,25.0,40.0,26.0,98.0,94.0,94.0,57.1,-1.0,-1.0,-1.0,0
31045,62.8,40.0,34.7,40.0,47.9,92.0,74.0,94.1,81.6,-1.0,-1.0,-1.0,0
31545,58.2,24.0,35.8,27.1,36.0,96.0,78.4,96.0,67.3,-1.0,-1.0,-1.0,0
32046,62.5,39.6,34.7,35.3,36.0,92.0,94.1,90.0,78.4,-1.0,-1.0,-1.0,0
32546,60.8,45.1,34.0,39.2,24.5,82.0,98.0,92.0,72.0,-1.0,-1.0,-1.0,0
33047,57.5,34.0,22.4,26.5,24.0,94.2,89.8,100.0,64.0,-1.0,-1.0,-1.0,0
33547,63.0,33.3,40.8,40.0,34.0,91.8,94.0,90.0,80.0,-1.0,-1.0,-1.0,0
34048,58.9,30.6,30.6,38.0,28.6,76.5,80.0,95.9,94.0,-1.0,-1.0,-1.0,0
34548,64.7,49.0,37.3,50.0,38.0,67.3,92.0,90.0,93.8,-1.0,-1.0,-1.0,0
35050,58.8,39.2,32.0,34.0,29.2,86.3,94.0,100.0,54.0,-1.0,-1.0,-1.0,0
